Date	Downloads
2015-09-24	161953
2016-01-19	199521
2015-10-10	175451
2016-02-05	178126
2016-01-30	137935
2016-02-16	255052
2015-10-21	221229
2016-02-27	191950
2015-11-29	109454
2015-12-04	141592
2015-12-15	179622
2015-09-06	121198
2016-01-01	87277
2015-09-17	182311
2016-01-12	182815
2015-12-26	99907
2016-01-23	158933
2015-09-28	205225
2015-10-03	125717
2015-10-14	236997
2016-02-09	187652
2015-10-25	162015
2016-02-20	194618
2015-11-22	39967
2015-12-08	162162
2015-09-10	168581
2015-12-19	113947
2016-01-05	172209
2016-01-16	127633
2015-09-21	217846
2015-12-30	140105
2016-02-02	198192
2015-10-07	196240
2016-01-27	198213
2016-02-13	207334
2015-10-18	159507
2015-10-29	216588
2016-02-24	287524
2015-11-04	137325
2015-11-26	125278
2015-12-01	159110
2015-09-03	164475
2015-12-12	123507
2015-09-14	181225
2015-12-23	57566
2016-01-09	121763
2016-01-20	197684
2015-09-25	159892
2016-02-06	143356
2016-01-31	121819
2015-10-11	164789
2016-02-17	250275
2015-10-22	206038
2016-02-28	197995
2015-12-05	115699
2015-11-30	152988
2015-09-07	126391
2016-01-02	112029
2015-12-16	197410
2016-01-13	173148
2015-09-18	136835
2016-01-24	147636
2015-10-04	130392
2015-09-29	201481
2015-10-15	228642
2016-02-10	192981
2016-02-21	201729
2015-11-01	158860
2015-10-26	239419
2015-11-23	132895
2015-12-09	166353
2015-12-20	117865
2015-09-11	178039
2016-01-06	119157
2015-09-22	195031
2016-01-17	134223
2015-12-31	107062
2015-10-08	219405
2016-02-03	200592
2016-01-28	189977
2015-10-19	234930
2016-02-14	163895
2015-10-30	203869
2016-02-25	285294
2015-11-27	126436
2015-12-02	159873
2015-12-13	110384
2015-09-04	141425
2015-09-15	179402
2015-12-24	81695
2016-01-10	126172
2015-10-01	163759
2015-09-26	119559
2016-01-21	198652
2016-02-07	123561
2015-10-12	241172
2015-10-23	194017
2016-02-18	242040
2016-02-29	282656
2015-12-06	118645
2016-01-03	111728
2015-09-08	161909
2015-12-17	159985
2015-12-28	9534
2015-09-19	136283
2016-01-14	170317
2015-09-30	189749
2015-10-05	209610
2016-01-25	209929
2016-02-11	193218
2015-10-16	217571
2016-02-22	263404
2015-11-02	242674
2015-10-27	235817
2015-11-24	139344
2015-09-01	259212
2015-12-10	163833
2016-01-07	132052
2015-12-21	159852
2015-09-12	136263
2015-09-23	185905
2016-01-18	193387
2015-10-09	211024
2016-02-04	190509
2016-01-29	174113
2015-10-20	211899
2016-02-15	208310
2016-03-01	2
2016-02-26	258522
2015-10-31	157537
2015-11-28	98349
2015-12-03	153125
2015-09-05	91168
2015-12-14	99728
2016-01-11	177125
2015-09-16	191777
2015-12-25	87229
2016-01-22	219520
2015-09-27	125160
2015-10-02	144241
2016-02-08	184710
2015-10-13	238358
2016-02-19	228539
2015-10-24	144169
2015-12-07	160000
2015-09-09	106014
2015-12-18	143163
2016-01-04	163768
2015-12-29	60021
2016-01-15	157783
2015-09-20	135501
2015-10-06	202665
2016-02-01	200054
2016-01-26	199233
2016-02-12	224429
2015-10-17	151682
2015-10-28	227398
2016-02-23	276574
2015-11-03	250108
2015-11-25	135707
2015-09-02	216188
2015-12-11	160983
2015-09-13	128320
2016-01-08	85761
2015-12-22	169552
