DOI,Title,Year,Type,Publisher,Book,Subject,Downloads
10.1007/978-1-4419-9716-6_11,Full-scale modal wind turbine tests: comparing shaker excitation with wind excitation,2011.0,book-chapter,Springer Science + Business Media,"Structural Dynamics and Renewable Energy, Volume 1",N/A,7988
10.1056/NEJMoa1402121,"Comprehensive, Integrative Genomic Analysis of Diffuse Lower-Grade Gliomas",2015.0,journal-article,New England Journal of Medicine (NEJM/MMS),New England Journal of Medicine,Medicine(all),6117
10.1116/1.4904970,Photosensitive field emission study of SnS2 nanosheets,2015.0,journal-article,American Vacuum Society,J. Vac. Sci. Technol. B,N/A,2991
10.1103/PhysRevB.63.224204,Griffiths effects and quantum critical points in dirty superconductors without spin-rotation invariance: One-dimensional examples,N/A,journal-article,American Physical Society (APS),Phys. Rev. B,Condensed Matter Physics,2890
10.1182/asheducation-2015.1.8,N/A,N/A,N/A,N/A,N/A,N/A,2528
10.4028/www.scientific.net/AMM.7-8.159,Monitoring the Evolution of Fatigue in Corrugated Paperboard under Random Loads,N/A,journal-article,Trans Tech Publications,AMM,N/A,2266
10.1111/j.1365-277X.2004.00520.x,Intentional mis-reporting of food consumption and its relationship with body mass index and psychological scores in women,2004.0,journal-article,Wiley-Blackwell,Journal of Human Nutrition and Dietetics,Nutrition and Dietetics,2241
10.1002/pmic.200600525,Conifer defense against insects: Proteome analysis of Sitka spruce (Picea sitchensis) bark induced by mechanical wounding or feeding by white pine weevils (Pissodes strobi),2007.0,journal-article,Wiley-Blackwell,Proteomics,Biochemistry,2168
10.1161/CIRCRESAHA.117.306290,Efficient Gene Disruption in Cultured Primary Human Endothelial Cells by CRISPR/Cas9Novelty and Significance,2015.0,journal-article,Ovid Technologies (Wolters Kluwer Health),Circulation Research,Physiology,2001
10.1002/smll.201002009,"Graphene-Based Materials: Synthesis, Characterization, Properties, and Applications",2011.0,journal-article,Wiley-Blackwell,Small,Medicine(all),1806
